IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
ADH7;TLK2;ADSS2;FRG1B;TNFRSF10B;RPUSD1;SCIN;RAB3C;MEF2C;NEDD4L;;MLLT3;LAMA2;CHD3;DNM1
ADORA1;DNMT3A;AFF2;RBM3;TMEM176B;DNAJC11;ARSD;SSX2IP;ST3GAL5;PIP5K1B;;CH17-472G23.2;HLF;CLCNKA;DOCK3
ADRA1B;DEAF1;AGAP1;FLRT1;HSPA6;CDKL5;UPP2;HS6ST3;EDIL3;RICTOR;;REPS1;TXNIP;CLCNKB;DUSP6
ADRA2C;CTNNB1;AGAP2;CORT;GNA13;ADAM22;PAX6;TENM3;RP11-624C23.1;LHFPL2;;NOVA1;SLC6A12;CNOT3;EGR2
ADRB1;KDM6B;AGAP5;ALKBH6;PLEKHA4;RHOBTB2;RHBDF1;DACH1;CDC42SE2;AC004980.7;;SAT2;AKAP12;COG1;FGF13
ADRBK1;DSCAM;AGBL4;LYRM9;GLIS3;HEATR5B;TEAD3;PLA2G4C;SLC9A9;ELMO1-AS1;;GABRB1;SESTD1;COL12A1;GABRA1
ADRBK2;SETD5;AGMO;OSTN;TGIF1;CSDE1;MGST1;TOX3;TOX;PIP4K2A;;KAZN;MGST2;CPLX1;GABRA5
AP1B1;KCNQ3;AGO1;MSANTD3;PXN;UBE3C;RPS20;SPAG16;ADGRB3;RP11-295P9.3;;SPIN1;LRRFIP1;CREBBP;GABRB2
AHR;SRPR;AGO2;DMXL2;FOXJ1;VTA1;TRAF3IP3;FAM171B;FAM169A;SUMF1;;GARNL3;KMT2E;CSNK2B;GABRB3
AHSG;KDM5B;AGO3;LINC01003;HIST1H1C;METTL13;DYRK4;GALNTL6;CHCHD2;WASF2;;WBP2;CHSY1;CWC27;GABRG2
AKT2;WAC;AGO4;MGST3;MT2A;UQCRC1;STAB1;NUMB;CHSY3;SLC15A2;;FAM171B;SSH2;CYP3A4;GLS
ALAS1;SHANK2;AGTR2;COL9A1;PALLD;PHF7;CD4;CAPZB;CIRBP;RPS19;;TCF25;STXBP5;DAG1;GOT2
ALOX12B;NRXN1;AHDC1;OXLD1;PNP;SEMA3G;BTK;DDRGK1;MGAT4C;SPDYE2;;TNRC6A;NFKBIA;DHPS;GRIA3
ALOX12P2;TBL1XR1;AHI1;FRMPD2P1;RP5-855F14.1;HIVEP2;FYN;RMST;TCF25;PRDM11;;FBXL17;NHLRC2;DHX30;GRIN1
AMPD2;MYT1L;AHNAK;TMEM222;NT5C2;TTC19;KAL1;SUGP2;BEX1;ARID1B;;PTK2;ELOVL5;DLAT;GRIN2A
AMPH;BCL11A;AKAP9;SNX4;SLC11A1;SYT7;AKAP8L;FAM49A;RALYL;SMAP2;;PDE4DIP;SAMD4A;DOCK3;GRIN2B
AMY1B;RORB;ALDH1A3;PCDHA1;IRF7;PPP5C;PTBP1;KCNH7;SEMA6A;CKB;;COX20;UBA6;DPF2;GRM7
AMY2A;RAI1;ALDH1L1;FAM66C;RAB20;CEP68;PIK3C2A;BRINP3;ASIC2;FEZ2;;SIRPB3P;ACER3;DYNC1H1;HTT
SLC25A4;DYNC1H1;ALDH5A1;FBN3;MOB3C;MBTPS2;TYROBP;GABRB1;TET2;SLC8A1;;MBNL1;STK24;DYNC1I2;HIVEP2
SLC25A5;DPYSL2;ALG6;RP4-610C12.4;GEM;EXTL3;ELOVL5;GOLGA8B;PDE1A;EIF1;;CCDC18-AS1;PPM1H;EBF3;HK1
SLC25A6;AP2S1;AMPD1;RP11-95O2.1;HSPA7;EHD3;ALOX5;OR2L13;SCN3A;RSRP1;;RPL34P18;SFPQ;EP300;HPRT1
ANXA6;KMT2C;AMT;AC022153.1;FNDC3B;RNF14;MVP;IMMP2L;CDH2;TMIGD3;;FIGN;BBS9;ERLIN2;ITPR1
ANXA11;PAX5;ANK2;PYCRL;SLC16A3;CAPN1;PGM3;ARPP19;MAP2;NCK2;;EGLN3;PDE5A;FASTKD2;KCNA1
NUDT2;MKX;ABCE1;RP11-513I15.6;SBNO2;MDH1;ACPP;VWA8;CASC15;DENND4A;;FDPS;COL4A3;FBLN1;KCNA2
APBA2;GABRB3;ANK3;KRT8P18;PPP1R18;SLC30A9;WAS;RPS15;PKP4;CELF2;;EMX2;A2M;FBXL3;KCNB1
SHROOM2;SIN3A;ANKRD11;RPL21P54;SERPINH1;ZMYND11;CHDH;DPYSL2;DCC;JAK2;;TMEM161B-AS1;SLC30A10;FBXO11;KCNH1
AQP9;MBD5;ANKRD17;FAM83H-AS1;IFRD1;NUDCD3;SLC11A1;RFX3;EDNRA;INPP5D;;SOX5;DENND3;FITM2;KCNJ11
ARF3;MAP1A;ANKS1B;;EVC2;SLC38A5;WWTR1;RSRP1;NELL1;ALOX5;;INTU;AFF4;FLVCR1;KCNMA1
ARL4D;STXBP1;ANXA1;;TNFRSF1A;SYT13;ATP1A2;NFIA;RELN;EPB41;;TOX;ANO2;FOXG1;KCNQ2
ARF5;CELF4;AP1S2;;MKNK2;GPR124;CD74;SNRNP70;PUM1;STX7;;NFE2L2;ARHGEF7;FOXP1;KCNQ3
ARG1;PHF12;AP2S1;;PLIN2;NRXN3;HGF;SYN2;ZEB2;NCOA2;;CACNA2D3;STAT3;FRMPD4;KRAS
ARHGDIG;TBR1;APBA2;;DDIT4;GABRA1;SAMD4A;SPIN1;SV2A;FLI1;;GRID1;MYOF;FUS;LAMB1
ARL3;PPP2R5D;APBB1;;IL4R;GRAMD1B;SERPINB1;PLPPR4;GPX4;SYK;;PPFIA1;PRTG;GALNT2;MEF2C
ARNTL;TM9SF4;APH1A;;DSE;NDUFS1;SLC7A9;SYNPR;ROBO1;MBNL1;;GABRG1;SUZ12P1;GARS;MYO5A
STS;PHF21A;ARHGAP11B;;IFITM3;AKAP11;DERA;SLC22A10;CADM2;GAB1;;CADM2;ZBTB20;GRIA4;NARS
ART3;PRR12;ARHGAP32;;ZNF217;GLRX2;DEF6;LINC01378;KLHL32;PLEKHA5;;CIRBP;CYP20A1;GRIN1;NFIX
ASGR1;SKI;ARHGAP5;;C4A;KPNA6;GCLM;RP11-577H5.5;ADAMTS9-AS2;CDKAL1;;MSMO1;FNIP2;HECW2;PAFAH1B1
ASGR2;ASXL3;ARHGEF10;;PLOD2;ANK1;UBR2;GABRG2;DPYD;UBB;;AC005009.2;COL5A3;HERC2;PAK1
ASNA1;SPAST;ARHGEF2;;CASP7;SARS;HSD17B6;MIR99AHG;CIRBP;NPL;;NHSL1;FLI1;HK1;PBX1
ASNS;SMARCC2;ARHGEF9;;EMP3;ABCF2;TYMP;PPP3CA;CHCHD2;L3MBTL4;;MEF2C-AS1;FAM155A;HNRNPK;PDE2A
ASTN1;TRIP12;ARID1B;;SLC3A2;LRRC7;VIM;MIR137HG;BEX1;ACAP2;;TNRC6B;ARHGAP32;HUWE1;PDHA1
ATF4;CREBBP;ARID2;;VASP;ATP6V0A1;RNASET2;TBRG1;ATP5G3;CSGALNACT1;;GABRB1;;INPP5E;PI4KA
ATP1A1;TCF4;ARNT2;;ITPRIP;PEX3;CD44;GGT7;NGFRAP1;LST1;;GPATCH8;;IQSEC1;PPP2R1A
ATP1A3;CACNA1E;ARX;;TYMP;CUL3;IFNGR1;NLGN1;ATPIF1;KANSL1;;LTBP1;;KARS;PPP3CA
ATP1A4;GNAI1;ADORA2A;;DDR2;CYP46A1;TNFRSF1B;GNG7;HINT1;ANKS1A;;GRM3;;KDM1A;MAP2K1
ATP2A2;TCF20;ADRB2;;IFI16;TUBG2;IKZF2;FZD3;NRXN1;FTH1;;CEP112;;KDM3B;MAP2K2
ATP2B1;FOXP2;ANP32A;;XBP1;MAT2B;ARHGAP31;LRRTM3;TTF2;BCAS3;;LRRC16A;;KDM5B;RPS6KA3
ATP2B2;NSD1;AR;;IL1RL1;STAU2;ZZZ3;CPE;RBMS3;FYB;;HDAC4;;KIAA0195;SATB1
ATP2B3;TCF7L2;ARF3;;RAB13;RTN4R;PI4K2B;KCNJ3;RIMS2;ZNF609;;CDH20;;KIAA0226;ATXN1
ATP4A;LDB1;ASAP2;;BTG1;INPP4A;MSR1;AQP4-AS1;KIFAP3;CDC27;;STK33;;KMT2E;SCN1B
ATP5A1;EIF3G;ASB14;;SIRPAP1;PARP3;RAI14;TRAF3;ADGRL3;LRP4;;DLC1;;KPTN;SCN2A
ATP5B;PHF2;ASH1L;;NFIL3;SPATA7;CTNS;PKIA;MMP16;MAGI1;;SLC4A4;;LAMA2;SCN8A
ATP5G1;KIAA0232;ASMT;;TIPARP;WDR37;ADAM28;MGAT4C;UBE2E3;SCAF11;;SOX5;;LMNB1;SLC6A1
ATP6V1A;VEZF1;ASPM;;MICA;YTHDC2;ZIC2;HNRNPDL;LINGO2;COX4I1;;NRF1;;LMNB2;SNAP25
ATP6V1B1;GFAP;ASTN2;;PLAUR;CELF2;OFD1;SLITRK4;AC074363.1;SMAD2;;GPM6A;;LRRC32;CDKL5
ATP6V1B2;IRF2BPL;ASXL3;;NUP98;NEDD4L;GPM6B;BMPR1B;CSDE1;HPGDS;;LRBA;;LSS;SYT1
ATP6V0C;ZMYND8;ATP10A;;WEE1;KIAA2022;PREX2;AHI1;GNAQ;CMSS1;;;;MAGEL2;TAF6
ATP6V1C1;SATB1;ATP1A1;;ZNF788;JKAMP;CTPS2;CDH9;EPHA6;CD14;;;;MAPK8IP3;TCF4
ATP6V0A1;RFX3;ATP1A3;;CD99;SLC4A8;CP;RAPGEFL1;AKAP9;XACT;;;;MBOAT7;TPI1
ATR;SCN1A;ATP2B1;;HEBP2;MAPK9;SCML1;RPL34P18;TCF25;DIP2B;;;;MECP2;UQCRFS1
KIF1A;PPP5C;ATP2B2;;NPL;FAM160A2;USP28;LINC00657;RP11-123O10.4;LPAR6;;;;MPZ;YY1
AUP1;TRIM23;ATP6V0A2;;FCGR3B;PIK3CB;LTBP1;COL26A1;RAB3C;;;;;MRAS;YWHAG
BAD;TRAF7;ATRX;;YAP1;NRIP2;LIMA1;CNTN3;PLPPR1;;;;;MSL3;USP7
BAI2;ELAVL3;AUTS2;;SMAD1;OPN3;CYBA;FRMD6;RGS12;;;;;MTPAP;AP3B2
BAI3;GRIA2;AVPR1A;;RNF122;PTPRN;HEBP2;RP11-30J20.1;KCNJ3;;;;;MYO9A;CNTNAP1
BAK1;LRRC4C;AZGP1;;C4B;ATP9A;AKR7A2;SLITRK5;CHL1;;;;;NARS;MADD
BBS1;CACNA2D3;BACE1;;PARD3;CUL1;MCF2L2;SLC39A10;CSMD3;;;;;NBEA;SLC25A12
BCL2L1;NUP155;BAIAP2L1;;GFPT2;CYFIP2;LAMA3;STX1A;MGAT4C;;;;;NCAPG2;SUCLA2
BCL2L2;KMT2E;BAZ2B;;FCGR2A;C4orf27;KCNQ1;RPLP2;CNTN5;;;;;NDUFA1;HERC1
BCL7A;NR3C2;BBS4;;BCAR3;CDK14;SZRD1;MAP2;EHBP1;;;;;NEUROD2;WASF1
BDH1;NACC1;BCAS1;;SCIN;RASGRF1;FAM114A2;CES4A;KCNC2;;;;;NFASC;LARGE
BFSP1;PTK7;BCKDK;;TIMP1;CAMK2B;GINM1;NEGR1;EIF1;;;;;NONO;NRXN1
BHMT;PPP1R9B;BCL11A;;LIMK2;RIMBP2;ZFR;SORBS1;SLC35F4;;;;;ODC1;GABBR2
BID;GABRB2;BCORL1;;PCDHGA6;NCKAP1;IL17RB;COL24A1;FAM153B;;;;;P4HTM;PREPL
BMP4;HDLBP;BICRA;;CHI3L2;GUCY1B3;TRAF3IP2;VSTM2L;SLC22A17;;;;;PACS2;FRMPD4
BNIP1;TAOK1;BIRC6;;TNFRSF11B;MON2;SOAT1;ERBB4;LRRC3B;;;;;PAK1;RUSC2
BNIP3L;UBR1;BRAF;;CP;CS;RIOK2;STARD4-AS1;GABRB1;;;;;PCYT2;KATNB1
KLF9;TEK;BRCA2;;CEBPD;APPBP2;DGKG;MAPK1;SIK2;;;;;PGAP1;CACNG2
KLF5;KCNMA1;BRD4;;LPIN1;SEZ6;TBXAS1;HSP90AA1;OR2L13;;;;;PHEX;SEMA6B
DAGLA;CORO1A;BRINP3;;C1R;HAGH;YBX3;RPL34;RIMS1;;;;;PIEZO2;DEAF1
FMNL1;HECTD4;BRSK2;;CFLAR;TAF2;WAPAL;CNTNAP2;RPS15;;;;;PIGC;CTCF
C18orf1;NCOA1;BRWD3;;AFF1;FAR2;RPL18;EIF1;FUT9;;;;;PIGG;GNB5
C21orf2;DIP2A;BST1;;TRIP6;NTHL1;CASP8;OLFM3;SLC7A14;;;;;PLP1;TBR1
MPPED1;;BTAF1;;GADD45B;MAP2K4;TNPO3;GRID2;SSBP2;;;;;PMPCA;RAI1
CA1;;BTRC;;ROBO3;SNAP91;RFXANK;CHL1;PRR16;;;;;PNPLA2;CPLX1
CA7;;C12orf57;;ZC3H12A;SEC61A2;EYA2;RAP1GAP;RP11-577H5.5;;;;;POLR2A;KPTN
CA11;;C15orf62;;S100A9;NGEF;CHI3L2;CAMK2N1;PTMA;;;;;PPP2CA;CNKSR2
CACNA1B;;C4B;;YBX3;MPPED2;HMG20B;SERINC1;CSRNP3;;;;;PPP2R5D;DHX30
CACNB1;;CA6;;MYC;ATG2B;NTN1;RGS12;TMEFF2;;;;;PRMT7;MYT1L
CACNB2;;CACNA1A;;ZNF410;PFKP;KARS;ATP1B1;MIR137HG;;;;;PUS7;PLCB1
CACNB3;;CACNA1B;;PCDHGB6;CACNB1;TBC1D1;CIRBP;CCSER1;;;;;RAB11B;DMXL2
CACNB4;;CACNA1C;;C10orf105;PKM;CDK13;FSTL5;CAMK4;;;;;RORA;SATB2
CAD;;AVPR1B;;ZFP36L1;SYT1;MTHFD2;TCF25;G3BP2;;;;;RTTN;RPGRIP1L
CALM1;;BICDL1;;HMGB2;IDH3G;PPP2R5A;NEGR1;LUZP2;;;;;RUSC2;NEDD4L
CALM2;;CACNA1D;;TRIM4;ROGDI;CD84;SAT2;CDH10;;;;;RYR1;MED13L
CALM3;;CACNA1E;;UBC;ATP2B3;SPI1;FOXP2;EPHA5;;;;;SDHB;FLRT3
CALML3;;CACNA1F;;MT1X;PDK3;SP100;NCAM2;SLC8A1;;;;;SEMA6B;NECAP1
CAMK4;;CACNA1G;;TRIM5;TBC1D25;KLF6;MLLT3;MAGI2;;;;;SET;SETBP1
CAMK2A;;CACNA1H;;PLTP;ACSL4;TRAM1;FAM153B;ZEB2;;;;;SETD5;TANC2
CAMK2B;;CACNA1I;;CAPN2;REEP1;PHKA1;ATPIF1;LINC01158;;;;;SHMT2;NBEA
CAMK2G;;CACNA2D1;;TCEB3;IFT80;TNFRSF1A;SATB2;C9orf3;;;;;SHOC2;CYFIP2
CAPN1;;CACNA2D3;;CA12;ERLEC1;RHOA;PTMAP5;RIN2;;;;;SIGMAR1;FOXP1
CARS;;CACNB1;;LILRA5;PPP2R5B;ROCK1;TCEAL2;AHI1;;;;;SLC12A2;ACTL6B
CASP7;;CACNB2;;ANGPTL4;VPS35;CBFB;OLFM3;NTRK2;;;;;SLC16A2;PDP1
CASQ1;;CADM1;;RBM12B;DNAJA2;FGFR3;CDH2;MLLT3;;;;;SLC25A1;QRICH1
CBFA2T3;;CADM2;;GTF2A1L;GNB5;LAPTM4A;CDC37;GABRB2;;;;;SLC25A42;VPS53
CCBL1;;CADPS;;SPTY2D1;PFN2;PYGM;NRN1;GRIK1;;;;;SLC5A7;FOXRED1
CCK;;CADPS2;;DSC2;SPTB;ABCC9;COX5B;GAD2;;;;;SLC9A7;MBD5
CCKBR;;CAMK2A;;TNFRSF12A;ST6GALNAC1;MAOB;TBRG1;FSTL5;;;;;SMARCD1;KCNQ5
CCND2;;CAMK2B;;PLP2;FRMPD1;TGFBR3;PTMAP2;GRIA3;;;;;SMC1A;MCOLN1
CCND3;;CAMK4;;RP11-640M9.1;GBA2;NEDD4;PPFIA2;SPIN1;;;;;SON;HACE1
CCNG2;;CAPN12;;SP110;ASNS;DAPP1;NLGN4X;EPHA7;;;;;SOX5;XYLT1
ENTPD6;;CAPRIN1;;JMJD6;AP3M2;SMG6;WDR60;ELAVL2;;;;;SPG11;GNPTAB
CD47;;CARD11;;SECTM1;OSBPL3;JMJD6;AKAP9;CDH2;;;;;SPOP;SPRY4
CDC2;;CASK;;PDIA6;ATP2B1;PABPC1;BEX1;VPS35;;;;;STAG2;ATCAY
CDC6;;CASKIN1;;TMCO4;ING3;PTPN21;GABRB1;HTR1E;;;;;SYT1;FOXP2
CDC25B;;CASZ1;;ANO6;ATP6AP1;SLC12A3;C16orf45;PPP3CA;;;;;TANGO2;FDX1L
CDH8;;CAT;;CSF1;TRIB2;RPL31;CHCHD2;RAB3A;;;;;TBR1;VPS13B
CDH9;;CC2D1A;;DZIP1L;LPHN1;WDR1;ANO3;ROBO1;;;;;TCF20;ARX
CDH10;;CCDC88C;;KDM5A;LNX1;CYBRD1;KIAA1456;ZNF385B;;;;;TIMM50;PHACTR1
CDH12;;CCDC91;;MGAM;MARK2;HSD17B10;GOLGA8B;CIRBP;;;;;TMEM63A;HCN1
CDK5;;CCIN;;TNFRSF10C;CRMP1;NFATC3;RP11-405A12.2;HINT1;;;;;TMTC3;
CDKN2C;;CCNG1;;HSPA1L;TMEM38A;ACADVL;RPS15;NGFRAP1;;;;;TNPO3;
CDR2;;CCNK;;ABHD5;AP1M1;EVC;SYNPO2;MEF2C;;;;;TRAPPC9;
CD52;;CCSER1;;CD44;CLCN4;MRVI1;HINT1;PLA2G4C;;;;;TRIM2;
CEBPB;;CCT4;;PCF11;SDHA;GSDMB;TCF4;BEX1;;;;;TRIO;
CENPF;;CD276;;WTAP;ADAM11;KDM5A;AC007969.5;NUMB;;;;;TRMT1;
CHGA;;CD38;;AFF4;FRY;FERMT2;MEF2C-AS1;GABRA1;;;;;TRRAP;
CHKB;;CD99L2;;TRIM52;NSF;ST6GAL1;CABP1;ELAVL4;;;;;WASF1;
CHML;;CDC42BPB;;N4BP2;PPP2R2C;GLI2;SRRM4;CSRNP3;;;;;WDR26;
CHN1;;CDH10;;RP11-986E7.7;SNCB;TEAD2;AC105402.4;KLHL1;;;;;WDR4;
CHRM1;;CDH11;;RALGAPA2;NUAK1;CA12;ZNF208;MROH1;;;;;XYLT1;
CHRM3;;CDH13;;PLEKHG1;DPP8;LMAN1;NKAIN3;CTNNA1;;;;;YY1;
CHRNA2;;CDH22;;ZSCAN31;IPCEF1;ENO1;USP34;SEPT6;;;;;ZC4H2;
CIDEA;;CAMTA2;;LIMS3L;ZZEF1;SRI;CXXC4;ATP2A2;;;;;ZEB2;
AP2M1;;CDH8;;LTBP1;ANO8;TTC38;EPHA7;NDUFB2;;;;;ZNF148;
AP1S1;;CDH9;;PPBP;EIF4G3;FNDC3B;MARCH1;PURA;;;;;ZSWIM6;
AP2S1;;CDK13;;LCA5;SLC25A40;SART3;ZEB2;TYW1;;;;;ACTL6A;
CLU;;CDK16;;LILRB3;ADD2;ARHGAP15;RP11-166D19.1;BCL11A;;;;;ACTL6B;
CLPTM1;;CDK19;;TOB1;RASAL2;TUBA3D;SH3D19;CCDC64;;;;;ADCY5;
CNN1;;CDK5RAP2;;RFX2;SLC25A3;RBM7;SCN3B;ATP8A1;;;;;AGRN;
CNR1;;CDK8;;ADM;BCAP29;RBMS2;LRRC4C;GBE1;;;;;AK9;
COL5A1;;CDKL5;;DLGAP1-AS2;KIFAP3;UNG;SORBS2;ZNF483;;;;;APC2;
COL5A2;;CDON;;RAF1;KLHL20;FMO4;EIF1;ATRN;;;;;BCORL1;
COL19A1;;CECR2;;MACROD1;PLXNA2;SLC46A1;BDP1;SLITRK4;;;;;BIN1;
CORT;;CELF2;;TMPRSS3;MAP2K7;SPAG5;RAPGEFL1;ZFR2;;;;;BMP1;
COX7A1;;CELF4;;ALAS2;CTTNBP2;TRAF4;SYN2;LUZP1;;;;;BPTF;
CLDN4;;CELF6;;MYH6;ACTL6B;ICAM3;HDAC4;ELAVL1;;;;;C15orf57;
CREB1;;CEP135;;GPR84;USP33;NT5C2;PTPN13;ARX;;;;;C16orf62;
CRH;;CEP290;;DUSP16;UBE2K;GPC4;GABRG1;FBXL18;;;;;CARS;
CRIP2;;CEP41;;AKAP13;C12orf5;MBNL3;CSRNP3;DUS2;;;;;CCDC23;
CRMP1;;CGNL1;;ZNF160;RBFOX1;STXBP2;SYNPR;KCNC2;;;;;CDH2;
CRY2;;CHAMP1;;USP39;GNB1;NFKB2;THRB;;;;;;CDKL5;
CRYBB1;;CHD1;;APLNR;ITM2A;IL4R;ADGRB3;;;;;;CFL2;
CRYGA;;CHD2;;TUBB1;VDAC3;APBB1IP;RAB3C;;;;;;CHRNA1;
CRYGS;;CHD3;;GRAMD3;PCM1;GPR137B;SOX5;;;;;;CHRNB1;
CRYM;;CHD7;;KLHL15;BRINP1;SLC25A43;ST6GAL2;;;;;;CHRND;
MAPK14;;CHD8;;AHCTF1;TOLLIP;FBLN1;ADGRL2;;;;;;CHRNE;
CSN1S1;;CHD9;;EEF1A1P19;DDX1;ARAF;RP11-707M1.1;;;;;;CHST14;
NCAN;;CHKB;;ZCCHC8;KEAP1;NEBL;PLPPR4;;;;;;CHST3;
CTNNA2;;CHM;;HSPD1P11;DLGAP4;N4BP2;PUM1;;;;;;CLCN7;
CTNND2;;CHMP1A;;ZNF268;MEF2C;TULP3;RASGRF1;;;;;;CLP1;
CTPS;;CHRM3;;SLC47A2;UBA5;EDN1;MPP6;;;;;;CLPB;
CTSD;;CHRNA7;;ZCCHC6;AACS;ADCYAP1R1;OR2L13;;;;;;CNTNAP2;
CYC1;;CHRNB3;;RP11-561C5.4;CADPS2;SLC1A3;RP11-444D3.1;;;;;;COL13A1;
CYP1A1;;CHST2;;RPF1;C5orf22;CDC14A;SYT17;;;;;;COL1A1;
CYP2C8;;CIB2;;AC008746.12;COL19A1;OPHN1;NRXN1;;;;;;COL1A2;
CYP21A2;;CIC;;HS3ST3B1;EPB41L3;LRRC16A;GUCY1A2;;;;;;DDX6;
CYP26A1;;CLASP1;;TSLP;COBLL1;PGM1;FAM153A;;;;;;DNAJC19;
DAG1;;CLCN4;;TRH;DLG3;DCT;DGKZ;;;;;;DNM2;
DGKA;;CLN8;;RP11-152N13.16;GSK3B;RAB21;MIR137HG;;;;;;DOK7;
DGKB;;CLTCL1;;UTP14A;PDS5B;SLC4A4;LRRN3;;;;;;DSE;
DAP;;CMIP;;CNTD1;SMAP2;RBL1;EML6;;;;;;EHMT1;
DAPK1;;CMPK2;;RN7SL473P;KIAA1467;CXCL2;ZDHHC21;;;;;;ENSP00000451560;
DAPK3;;CNGB3;;;KIF3C;PTPRC;RORB;;;;;;EPT1;
DBC1;;CNKSR2;;;MAPRE3;STK17B;CH17-472G23.1;;;;;;EXTL3;
DBN1;;CNOT1;;;MYNN;FYB;UNC5C;;;;;;FBXW11;
DBP;;CNOT3;;;SCAMP1;STRADB;PLCH1;;;;;;FDXR;
DBT;;CNR1;;;PREP;C1QTNF3;KCNH5;;;;;;FGF3;
DCK;;CNTN3;;;HACE1;ITGB5;SPIN1;;;;;;FIG4;
DCTN1;;CNTN4;;;SEH1L;BCKDHB;TMEFF2;;;;;;FKRP;
DDB2;;CNTN5;;;WDR47;KAT6A;GABRA5;;;;;;FLRT1;
DDIT3;;CNTN6;;;CTTN;TNPO1;GRIA4;;;;;;FTSJ1;
DDX1;;CNTNAP2;;;MTIF2;PLOD1;RP11-586K2.1;;;;;;GAA;
DDX10;;CNTNAP3;;;DDHD2;SLC27A5;RMST;;;;;;GABBR2;
DHPS;;CNTNAP4;;;ATG16L1;RPS5;AK5;;;;;;GALE;
DIAPH1;;CNTNAP5;;;NFX1;FAT1;PDE4DIP;;;;;;GBA;
DLG2;;COL28A1;;;SNX10;REST;XIST;;;;;;GJC2;
DLG3;;CORO1A;;;SEPHS1;GSTP1;GALNTL6;;;;;;GLS;
